net,length_um
clknet_0_clk,256.48µm
net63,169.78µm
net57,126.74µm
net51,124.65µm
_0316_,108.11µm
net62,104.295µm
net43,104.22µm
_0038_,101.87µm
net55,101.54µm
u_axi_decoder.wr_state\[0\],96.88µm
clk,94.09µm
net45,89.75µm
_0361_,88.84µm
net35,80.18µm
net59,77.58µm
net50,77.13µm
clknet_4_12_0_clk,76.6µm
net49,73.2µm
m_axi_rready,70.73µm
m_axi_bready,70.68µm
clknet_4_13_0_clk,70.48µm
_0282_,69.62µm
net61,68.12µm
clknet_4_8_0_clk,66.4µm
net53,66.32µm
clknet_4_9_0_clk,66.08µm
clknet_4_2_0_clk,65.98µm
clknet_4_15_0_clk,65.9µm
u_vga_controller.raw_vsync,64.82µm
clknet_4_11_0_clk,64.34µm
net31,64.24µm
net25,59.48µm
u_vga_controller.H_count\[6\],57.8µm
clknet_4_7_0_clk,57.46µm
clknet_4_3_0_clk,57.18µm
net42,56.94µm
clknet_4_10_0_clk,56.6µm
clknet_4_1_0_clk,56.375µm
net24,55.84µm
clknet_4_14_0_clk,55.5µm
clknet_4_0_0_clk,51.62µm
_0352_,51.56µm
clknet_4_5_0_clk,50.05µm
_0365_,49.76µm
net21,49.58µm
net12,49.08µm
_0295_,48.97µm
net6,48.45µm
clknet_4_4_0_clk,48.22µm
m_axi_arready,47.94µm
_0318_,47.425µm
net4,47.29µm
net5,46.82µm
u_vga_controller.V_count\[0\],46.2µm
net46,45.78µm
clknet_4_6_0_clk,45.38µm
_0390_,45.18µm
net41,44.81µm
_0396_,44.78µm
_0315_,44.53µm
_0254_,44.04µm
_0385_,43.84µm
u_vga_controller.V_count\[5\],43.82µm
net28,43.1µm
u_vga_controller.V_count\[3\],42.655µm
_0351_,42.32µm
net32,42.1µm
net54,41.76µm
u_vga_controller.V_count\[7\],41.44µm
net47,41.08µm
u_vga_controller.V_count\[6\],41µm
u_axi_bridge.state\[1\],40.5µm
net8,40.06µm
_0305_,39.99µm
u_axi_decoder.rd_state\[4\],39.16µm
_0215_,39.12µm
net10,38.38µm
_0210_,37.88µm
u_vga_controller.V_count\[9\],37.855µm
_0389_,37.76µm
net22,37.54µm
net13,37.34µm
u_vga_controller.V_count\[11\],37.02µm
net38,36.8µm
s0_axi_bvalid,35.9µm
net15,35.88µm
net151,35.865µm
_0347_,35.68µm
u_vga_controller.H_count\[7\],35.68µm
net14,35.58µm
u_axi_decoder.wr_state\[3\],35.42µm
_0350_,35.04µm
u_axi_decoder.wr_state\[2\],34.86µm
net48,34.38µm
_0397_,34.37µm
net150,33.585µm
net152,33.505µm
_0123_,33.245µm
u_vga_controller.V_count\[10\],33.22µm
_0290_,33.185µm
u_vga_controller.V_count\[1\],33.08µm
net58,33.06µm
net19,32.94µm
_0148_,32.825µm
net18,32.56µm
net26,32.14µm
_0335_,31.92µm
_0314_,31.42µm
_0209_,31.34µm
net11,31.34µm
net9,31.32µm
_0328_,31.06µm
net16,31µm
u_vga_controller.V_count\[8\],30.98µm
_0323_,30.96µm
s0_axi_rvalid,30.96µm
u_axi_decoder.wr_state\[4\],30.82µm
_0337_,30.74µm
net149,30.725µm
_0353_,30.5µm
net44,30.48µm
