Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_36_214,VPWR,li1,104.1900,111.5200,1.800000
FILLER_36_206,VPWR,li1,100.7400,111.5200,1.800000
FILLER_36_200,VPWR,li1,98.2100,111.5200,1.800000
FILLER_36_197,VPWR,li1,96.8300,111.5200,1.800000
FILLER_36_190,VPWR,li1,93.6100,111.5200,1.800000
FILLER_36_185,VPWR,li1,91.0800,111.5200,1.800000
FILLER_36_182,VPWR,li1,89.9300,111.5200,1.800000
FILLER_36_177,VPWR,li1,87.4000,111.5200,1.800000
FILLER_36_174,VPWR,li1,86.2500,111.5200,1.800000
FILLER_36_169,VPWR,li1,83.7200,111.5200,1.800000
FILLER_36_166,VPWR,li1,82.3400,111.5200,1.800000
FILLER_36_161,VPWR,li1,80.0400,111.5200,1.800000
FILLER_36_158,VPWR,li1,78.8900,111.5200,1.800000
FILLER_36_153,VPWR,li1,76.3600,111.5200,1.799999
FILLER_36_150,VPWR,li1,75.2100,111.5200,1.799999
FILLER_36_144,VPWR,li1,72.4500,111.5200,1.799999
FILLER_36_141,VPWR,li1,71.0700,111.5200,1.799999
FILLER_36_134,VPWR,li1,67.8500,111.5200,1.799999
FILLER_36_129,VPWR,li1,65.3200,111.5200,1.799999
FILLER_36_126,VPWR,li1,64.1700,111.5200,1.799999
FILLER_36_121,VPWR,li1,61.6400,111.5200,1.799999
FILLER_36_118,VPWR,li1,60.4900,111.5200,1.799998
FILLER_36_113,VPWR,li1,57.9600,111.5200,1.799998
FILLER_36_110,VPWR,li1,56.5800,111.5200,1.799998
FILLER_36_105,VPWR,li1,54.2800,111.5200,1.799998
FILLER_36_98,VPWR,li1,50.8300,111.5200,1.799998
FILLER_36_51,VPWR,li1,29.4400,111.5200,1.799996
FILLER_36_27,VPWR,li1,18.1700,111.5200,1.799998
FILLER_35_210,VPWR,li1,102.5800,106.0800,1.799996
FILLER_35_207,VPWR,li1,101.4300,106.0800,1.799996
FILLER_35_204,VPWR,li1,100.0500,106.0800,1.799995
FILLER_35_201,VPWR,li1,98.6700,106.0800,1.799995
FILLER_35_198,VPWR,li1,97.2900,106.0800,1.799994
FILLER_35_195,VPWR,li1,95.9100,106.0800,1.799993
FILLER_35_192,VPWR,li1,94.5300,106.0800,1.799992
FILLER_35_189,VPWR,li1,93.1500,106.0800,1.799992
FILLER_35_186,VPWR,li1,91.7700,106.0800,1.799991
FILLER_35_183,VPWR,li1,90.3900,106.0800,1.799990
FILLER_35_180,VPWR,li1,89.0100,106.0800,1.799990
FILLER_35_177,VPWR,li1,87.6300,106.0800,1.799988
FILLER_35_162,VPWR,li1,80.2700,106.0800,1.799988
FILLER_35_156,VPWR,li1,77.5100,106.0800,1.799988
FILLER_35_133,VPWR,li1,67.1600,106.0800,1.799987
FILLER_35_130,VPWR,li1,66.0100,106.0800,1.799987
FILLER_35_127,VPWR,li1,64.6300,106.0800,1.799985
FILLER_35_124,VPWR,li1,63.2500,106.0800,1.799985
FILLER_35_121,VPWR,li1,61.8700,106.0800,1.799984
FILLER_35_116,VPWR,li1,59.3400,106.0800,1.799984
FILLER_35_113,VPWR,li1,58.1900,106.0800,1.799984
FILLER_35_109,VPWR,li1,56.3500,106.0800,1.799984
FILLER_35_101,VPWR,li1,52.6700,106.0800,1.799984
FILLER_35_42,VPWR,li1,25.0700,106.0800,1.799981
FILLER_35_34,VPWR,li1,21.3900,106.0800,1.799982
FILLER_34_209,VPWR,li1,102.3500,106.0800,1.799996
FILLER_34_206,VPWR,li1,100.9700,106.0800,1.799996
FILLER_34_203,VPWR,li1,99.5900,106.0800,1.799995
FILLER_34_200,VPWR,li1,98.2100,106.0800,1.799994
FILLER_34_197,VPWR,li1,96.8300,106.0800,1.799994
FILLER_34_193,VPWR,li1,94.9900,106.0800,1.799993
FILLER_34_190,VPWR,li1,93.6100,106.0800,1.799992
FILLER_34_186,VPWR,li1,91.3100,106.0800,1.799991
FILLER_34_183,VPWR,li1,90.3900,106.0800,1.799990
FILLER_34_149,VPWR,li1,74.5200,106.0800,1.799988
FILLER_34_133,VPWR,li1,67.1600,106.0800,1.799987
FILLER_34_130,VPWR,li1,66.0100,106.0800,1.799987
FILLER_34_94,VPWR,li1,49.2200,106.0800,1.799984
FILLER_34_85,VPWR,li1,44.8500,106.0800,1.799985
FILLER_34_82,VPWR,li1,43.7000,106.0800,1.799985
FILLER_34_52,VPWR,li1,29.9000,106.0800,1.799982
FILLER_34_24,VPWR,li1,16.7900,106.0800,1.799983
FILLER_34_3,VPWR,li1,7.1300,106.0800,1.799988
FILLER_33_211,VPWR,li1,102.8100,100.6400,1.799996
FILLER_33_208,VPWR,li1,101.8900,100.6400,1.799996
FILLER_33_205,VPWR,li1,100.5100,100.6400,1.799996
FILLER_33_202,VPWR,li1,99.1300,100.6400,1.799994
FILLER_33_199,VPWR,li1,97.7500,100.6400,1.799994
FILLER_33_196,VPWR,li1,96.3700,100.6400,1.799993
FILLER_33_167,VPWR,li1,82.5700,100.6400,1.799991
FILLER_33_158,VPWR,li1,78.4300,100.6400,1.799991
FILLER_33_155,VPWR,li1,77.5100,100.6400,1.799991
FILLER_33_127,VPWR,li1,64.4000,100.6400,1.799989
FILLER_33_124,VPWR,li1,63.2500,100.6400,1.799988
FILLER_33_57,VPWR,li1,32.2000,100.6400,1.799990
FILLER_33_54,VPWR,li1,30.8200,100.6400,1.799990
FILLER_32_206,VPWR,li1,100.9700,100.6400,1.799996
FILLER_32_197,VPWR,li1,96.3700,100.6400,1.799993
FILLER_32_192,VPWR,li1,94.0700,100.6400,1.799991
FILLER_32_185,VPWR,li1,91.0800,100.6400,1.799990
FILLER_32_182,VPWR,li1,89.9300,100.6400,1.799991
FILLER_32_179,VPWR,li1,88.5500,100.6400,1.799991
FILLER_32_176,VPWR,li1,87.1700,100.6400,1.799991
FILLER_32_173,VPWR,li1,85.7900,100.6400,1.799991
FILLER_32_160,VPWR,li1,79.5800,100.6400,1.799991
FILLER_32_157,VPWR,li1,78.4300,100.6400,1.799991
FILLER_32_154,VPWR,li1,77.0500,100.6400,1.799991
FILLER_32_151,VPWR,li1,75.6700,100.6400,1.799991
FILLER_32_148,VPWR,li1,74.2900,100.6400,1.799991
FILLER_32_131,VPWR,li1,66.4700,100.6400,1.799990
FILLER_32_128,VPWR,li1,65.0900,100.6400,1.799989
FILLER_32_97,VPWR,li1,50.8300,100.6400,1.799989
FILLER_32_88,VPWR,li1,46.2300,100.6400,1.799990
FILLER_32_41,VPWR,li1,24.6100,100.6400,1.799990
FILLER_32_27,VPWR,li1,18.1700,100.6400,1.799993
FILLER_31_207,VPWR,li1,101.2000,95.2000,1.799992
FILLER_31_172,VPWR,li1,85.3300,95.2000,1.799992
FILLER_31_169,VPWR,li1,83.9500,95.2000,1.799992
FILLER_31_165,VPWR,li1,82.1100,95.2000,1.799993
FILLER_31_162,VPWR,li1,80.7300,95.2000,1.799993
FILLER_31_159,VPWR,li1,79.3500,95.2000,1.799993
FILLER_31_156,VPWR,li1,77.9700,95.2000,1.799994
FILLER_31_153,VPWR,li1,76.5900,95.2000,1.799994
FILLER_31_137,VPWR,li1,68.7700,95.2000,1.799994
FILLER_31_134,VPWR,li1,67.8500,95.2000,1.799994
FILLER_31_131,VPWR,li1,66.4700,95.2000,1.799993
FILLER_31_102,VPWR,li1,52.9000,95.2000,1.799993
FILLER_31_99,VPWR,li1,51.7500,95.2000,1.799993
FILLER_31_81,VPWR,li1,43.0100,95.2000,1.799995
FILLER_31_67,VPWR,li1,36.5700,95.2000,1.799993
FILLER_31_24,VPWR,li1,16.7900,95.2000,1.799991
FILLER_31_3,VPWR,li1,7.1300,95.2000,1.799993
FILLER_30_180,VPWR,li1,88.7800,95.2000,1.799991
FILLER_30_156,VPWR,li1,77.7400,95.2000,1.799994
FILLER_30_153,VPWR,li1,76.5900,95.2000,1.799994
FILLER_30_144,VPWR,li1,71.9900,95.2000,1.799994
FILLER_30_141,VPWR,li1,71.0700,95.2000,1.799995
FILLER_30_134,VPWR,li1,67.3900,95.2000,1.799994
FILLER_30_112,VPWR,li1,57.2700,95.2000,1.799993
FILLER_30_103,VPWR,li1,53.1300,95.2000,1.799993
FILLER_30_100,VPWR,li1,52.2100,95.2000,1.799993
FILLER_30_81,VPWR,li1,43.4700,95.2000,1.799995
FILLER_30_65,VPWR,li1,35.8800,95.2000,1.799993
FILLER_30_29,VPWR,li1,19.0900,95.2000,1.799990
FILLER_30_3,VPWR,li1,7.3600,95.2000,1.799993
FILLER_29_216,VPWR,li1,105.3400,89.7600,1.799999
FILLER_29_204,VPWR,li1,99.5900,89.7600,1.799999
FILLER_29_176,VPWR,li1,86.9400,89.7600,1.799997
FILLER_29_156,VPWR,li1,77.7400,89.7600,1.799996
FILLER_29_153,VPWR,li1,76.5900,89.7600,1.799996
FILLER_29_109,VPWR,li1,56.3500,89.7600,1.799994
FILLER_29_106,VPWR,li1,54.9700,89.7600,1.799994
FILLER_29_87,VPWR,li1,46.0000,89.7600,1.799992
FILLER_29_84,VPWR,li1,44.8500,89.7600,1.799992
FILLER_29_57,VPWR,li1,31.9700,89.7600,1.799986
FILLER_29_52,VPWR,li1,29.6700,89.7600,1.799985
FILLER_29_34,VPWR,li1,21.3900,89.7600,1.799983
FILLER_29_23,VPWR,li1,16.7900,89.7600,1.799985
FILLER_29_14,VPWR,li1,12.1900,89.7600,1.799990
FILLER_29_11,VPWR,li1,11.2700,89.7600,1.799990
FILLER_28_208,VPWR,li1,101.4300,89.7600,1.799999
FILLER_28_203,VPWR,li1,99.3600,89.7600,1.799999
FILLER_28_195,VPWR,li1,95.4500,89.7600,1.799998
FILLER_28_192,VPWR,li1,94.5300,89.7600,1.799998
FILLER_28_176,VPWR,li1,87.1700,89.7600,1.799997
FILLER_28_154,VPWR,li1,77.0500,89.7600,1.799996
FILLER_28_151,VPWR,li1,75.6700,89.7600,1.799996
FILLER_28_131,VPWR,li1,66.2400,89.7600,1.799995
FILLER_28_128,VPWR,li1,65.0900,89.7600,1.799995
FILLER_28_125,VPWR,li1,63.7100,89.7600,1.799995
FILLER_28_99,VPWR,li1,51.2900,89.7600,1.799993
FILLER_28_96,VPWR,li1,50.3700,89.7600,1.799993
FILLER_28_88,VPWR,li1,46.4600,89.7600,1.799992
FILLER_28_85,VPWR,li1,45.3100,89.7600,1.799992
FILLER_28_49,VPWR,li1,28.2900,89.7600,1.799985
FILLER_28_3,VPWR,li1,7.3600,89.7600,1.799990
FILLER_27_194,VPWR,li1,95.4500,84.3200,1.799964
FILLER_27_179,VPWR,li1,88.3200,84.3200,1.799953
FILLER_27_172,VPWR,li1,84.8700,84.3200,1.799953
FILLER_27_169,VPWR,li1,83.9500,84.3200,1.799954
FILLER_27_158,VPWR,li1,78.8900,84.3200,1.799957
