Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,481
design__inferred_latch__count,0
design__instance__count,1614
design__instance__area,10231.1
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,1
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0007884993683546782
power__switching__total,0.00022401296882890165
power__leakage__total,1.145307315653099E-8
power__total,0.0010125237749889493
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.10456662220963477
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.105450554051265
timing__hold__ws__corner:nom_tt_025C_1v80,0.458954387484944
timing__setup__ws__corner:nom_tt_025C_1v80,5.196275112829194
timing__hold__tns__corner:nom_tt_025C_1v80,0
timing__setup__tns__corner:nom_tt_025C_1v80,0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.458954
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,5.360333
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,1
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.1102315908641521
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.1117552054750872
timing__hold__ws__corner:nom_ss_100C_1v60,0.9791541188331689
timing__setup__ws__corner:nom_ss_100C_1v60,0.6296021660007733
timing__hold__tns__corner:nom_ss_100C_1v60,0
timing__setup__tns__corner:nom_ss_100C_1v60,0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.979154
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,0.629602
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,1
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.10367483553988316
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.10431715508894608
timing__hold__ws__corner:nom_ff_n40C_1v95,0.257094741661642
timing__setup__ws__corner:nom_ff_n40C_1v95,6.247795790900145
timing__hold__tns__corner:nom_ff_n40C_1v95,0
timing__setup__tns__corner:nom_ff_n40C_1v95,0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.257095
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,7.928852
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,1
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.10367483553988316
clock__skew__worst_setup,0.10430594183608023
timing__hold__ws,0.25592378940445304
timing__setup__ws,0.5447527028102743
timing__hold__tns,0
timing__setup__tns,0
timing__hold__wns,0
timing__setup__wns,0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.255924
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,0.544753
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 112.915 123.635
design__core__bbox,5.52 10.88 107.18 111.52
design__io,130
design__die__area,13960.2
design__core__area,10231.1
design__instance__count__stdcell,925
design__instance__area__stdcell,8181.6
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.799682
design__instance__utilization__stdcell,0.799682
design__rows,37
design__rows:unithd,37
design__sites,8177
design__sites:unithd,8177
design__instance__count__class:inverter,97
design__instance__area__class:inverter,364.099
design__instance__count__class:sequential_cell,111
design__instance__area__class:sequential_cell,2766.4
design__instance__count__class:multi_input_combinational_cell,403
design__instance__area__class:multi_input_combinational_cell,3105.48
flow__warnings__count,0
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,0
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,689
design__instance__area__class:fill_cell,2049.47
design__instance__count__class:tap_cell,136
design__instance__area__class:tap_cell,170.163
flow__warnings__count:PDN-0239,1
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,1682.56
design__instance__displacement__mean,1.684
design__instance__displacement__max,30.36
route__wirelength__estimated,12855.5
design__violations,0
design__instance__count__class:timing_repair_buffer,147
design__instance__area__class:timing_repair_buffer,1425.12
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,31
design__instance__area__class:clock_buffer,350.336
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,84
global_route__vias,4503
global_route__wirelength,22425
flow__warnings__count:GRT-0041,76
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,777
route__net__special,2
route__drc_errors__iter:0,203
route__wirelength__iter:0,13646
route__drc_errors__iter:1,91
route__wirelength__iter:1,13543
route__drc_errors__iter:2,41
route__wirelength__iter:2,13518
route__drc_errors__iter:3,18
route__wirelength__iter:3,13522
route__drc_errors__iter:4,18
route__wirelength__iter:4,13520
route__drc_errors__iter:5,18
route__wirelength__iter:5,13521
route__drc_errors__iter:10,18
route__wirelength__iter:10,13521
route__drc_errors__iter:11,17
route__wirelength__iter:11,13520
route__drc_errors__iter:12,17
route__wirelength__iter:12,13520
route__drc_errors__iter:13,17
route__wirelength__iter:13,13520
route__drc_errors__iter:15,17
route__wirelength__iter:15,13520
route__drc_errors__iter:16,17
route__wirelength__iter:16,13520
route__drc_errors__iter:17,5
route__wirelength__iter:17,13467
route__drc_errors__iter:18,4
route__wirelength__iter:18,13464
route__drc_errors__iter:19,4
route__wirelength__iter:19,13464
route__drc_errors__iter:20,1
route__wirelength__iter:20,13465
route__drc_errors__iter:21,1
route__wirelength__iter:21,13465
route__drc_errors__iter:22,0
